imo;speed 0.0 - 0.5;speed 0.5 - 1.0;speed 1.0 - 1.5;speed 1.5 - 2.0;speed 2.0 - 2.5;speed 2.5 - 3.0;speed 3.0 - 3.5;speed 3.5 - 4.0;speed 4.0 - 4.5;speed 4.5 - 5.0;speed 5.0 - 5.5;speed 5.5 - 6.0;speed 6.0 - 6.5;speed 6.5 - 7.0;speed 7.0 - 7.5;speed 7.5 - 8.0;speed 8.0 - 8.5;speed 8.5 - 9.0;speed 9.0 - 9.5;speed 9.5 - 10.0;speed 10.0 - 10.5;speed 10.5 - 11.0;speed 11.0 - 11.5;speed 11.5 - 12.0;speed 12.0 - 12.5;speed 12.5 - 13.0;speed 13.0 - 13.5;speed 13.5 - 14.0;speed 14.0 - 14.5;speed 14.5 - 15.0;speed 15.0 - 15.5;speed 15.5 - 16.0;speed 16.0 - 16.5;speed 16.5 - 17.0;speed 17.0 - 17.5;speed 17.5 - 18.0;speed 18.0 - 18.5;speed 18.5 - 19.0;speed 19.0 - 19.5;speed 19.5 - 20.0;speed 20.0 - 20.5;speed 20.5 - 21.0;speed 21.0 - 21.5;speed 21.5 - 22.0;speed 22.0 - 22.5;speed 22.5 - 23.0;speed 23.0 - 23.5;speed 23.5 - 24.0;speed 24.0 - 24.5;speed 24.5 - 25.0;speed 25.0 - 25.5;speed 25.5 - 26.0;speed 26.0 - 26.5;speed 26.5 - 27.0;speed 27.0 - 27.5;speed 27.5 - 28.0;speed 28.0 - 28.5;speed 28.5 - 29.0;speed 29.0 - 29.5;speed 29.5 - 30.0;speed >30.0
6153496;0.9154;0.0108;0.0082;0.0061;0.0042;0.0032;0.0026;0.0016;0.0007;0.0013;0.0004;0.0005;0.0009;0.0007;0.0022;0.0022;0.0018;0.0037;0.007;0.0125;0.0077;0.0055;0.0006;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6153504;0.8087;0.0229;0.0256;0.0198;0.012;0.0121;0.0117;0.0095;0.0046;0.0047;0.0028;0.0022;0.0022;0.0038;0.0027;0.0039;0.0053;0.0057;0.0058;0.0104;0.0157;0.0063;0.0013;0.0001;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6151611;0.3107;0.002;0.0019;0.0026;0.0026;0.0031;0.0034;0.0036;0.0014;0.0034;0.0025;0.0029;0.0024;0.002;0.0016;0.0022;0.0016;0.0031;0.002;0.0026;0.0029;0.0046;0.0026;0.0016;0.0019;0.002;0.0026;0.0034;0.0021;0.0022;0.0022;0.0026;0.0022;0.0029;0.0025;0.0044;0.0045;0.0083;0.006;0.0086;0.0112;0.0092;0.0102;0.0167;0.0139;0.0402;0.0295;0.067;0.0481;0.0341;0.011;0.0435;0.0381;0.1144;0.0522;0.0279;0.005;0.0002;0;0;0
6151619;0.4217;0.0073;0.0046;0.006;0.0057;0.0048;0.0057;0.0054;0.0046;0.0037;0.0046;0.0048;0.0049;0.0046;0.0046;0.0043;0.006;0.0048;0.004;0.0034;0.0045;0.0055;0.0049;0.0034;0.0048;0.0037;0.0028;0.0034;0.0027;0.0046;0.0028;0.004;0.0033;0.0048;0.0046;0.0064;0.007;0.0067;0.0163;0.0297;0.0255;0.0202;0.0271;0.0393;0.0412;0.0378;0.0382;0.0618;0.0516;0.0135;0.0007;0.0001;0.0001;0;0;0;0;0;0;0;0
6160131;0.3703;0.004;0.0022;0.0022;0.0022;0.0033;0.0033;0.0031;0.0026;0.004;0.0038;0.006;0.0083;0.0101;0.0155;0.0181;0.0315;0.044;0.0628;0.0623;0.0822;0.0745;0.0557;0.0408;0.0366;0.0232;0.015;0.0064;0.0033;0.0015;0.0014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6160134;0.8387;0.0203;0.0207;0.0186;0.0146;0.0144;0.0109;0.0069;0.0044;0.0027;0.0017;0.0019;0.0006;0.0002;0.0004;0.0012;0.001;0.0006;0.0008;0.0025;0.0061;0.0081;0.0117;0.0094;0.0015;0;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6133907;0.5904;0.0065;0.0035;0.0035;0.0018;0.0024;0.0053;0.0035;0.0041;0.0047;0.0112;0.013;0.0284;0.0343;0.0638;0.0514;0.0585;0.055;0.0372;0.0106;0.0095;0.0012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6153651;0.1391;0.0015;0.0027;0.0015;0.0015;0.0012;0.0012;0.0004;0.0019;0.0035;0.0012;0.0019;0.0019;0.0023;0.0012;0.0027;0.0039;0.0012;0.0046;0.0019;0.0027;0.0039;0.0042;0.0073;0.0089;0.0062;0.0112;0.0127;0.0127;0.0154;0.0054;0.0081;0.0046;0.0089;0.0123;0.01;0.0139;0.0339;0.0493;0.0397;0.0285;0.022;0.0532;0.1102;0.1141;0.047;0.0462;0.0713;0.0497;0.0089;0.0004;0;0;0;0;0;0;0;0;0;0
6165007;0.4629;0.0022;0.0032;0.0025;0.003;0.0013;0.0016;0.0018;0.0018;0.0019;0.0018;0.0025;0.001;0.0037;0.003;0.0025;0.0027;0.0029;0.0029;0.0041;0.0029;0.0025;0.0027;0.0027;0.0029;0.0041;0.0027;0.0033;0.0067;0.0057;0.0084;0.0073;0.0159;0.0248;0.0349;0.0446;0.0484;0.0428;0.0331;0.0236;0.0296;0.0331;0.0369;0.0226;0.0156;0.0123;0.0119;0.0068;0.0011;0.0006;0;0;0;0;0;0;0;0;0;0;0
6165400;0.6413;0.073;0.0271;0.0246;0.0107;0.0032;0.0055;0.0048;0.0028;0.0043;0.0029;0.0085;0.0029;0.0013;0.0019;0.0026;0.0036;0.0022;0.0043;0.0065;0.009;0.0175;0.0375;0.0462;0.0387;0.0106;0.0022;0.0023;0.0012;0;0.0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6155018;0.1253;0.0173;0.0153;0.0214;0.0253;0.0367;0.0368;0.031;0.0252;0.0262;0.023;0.0173;0.0179;0.0124;0.011;0.0184;0.0183;0.0195;0.0176;0.0213;0.0327;0.04;0.0366;0.0306;0.0275;0.0188;0.0188;0.0182;0.0171;0.0189;0.0252;0.0317;0.0341;0.0344;0.0256;0.0212;0.0145;0.0078;0.0047;0.0023;0.0015;0.0004;0.0004;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6157123;0.7338;0.0079;0.0072;0.0068;0.0066;0.0078;0.0063;0.0069;0.0078;0.0122;0.0194;0.0362;0.0478;0.0412;0.0251;0.0191;0.0071;0.0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6173655;0.55;0.0098;0.0088;0.0066;0.0057;0.0043;0.0034;0.004;0.0063;0.006;0.0135;0.023;0.031;0.0377;0.042;0.0509;0.107;0.066;0.0207;0.0023;0.0004;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6178896;0.4605;0.0091;0.0115;0.0104;0.0069;0.0064;0.0047;0.0057;0.0077;0.0095;0.0208;0.0363;0.0339;0.0301;0.0399;0.0635;0.0936;0.0885;0.0543;0.006;0.0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6148278;0.8644;0.0167;0.0196;0.0142;0.0167;0.0124;0.0087;0.0054;0.0052;0.0048;0.0034;0.0036;0.0018;0.0043;0.0015;0.0027;0.0018;0.0028;0.0025;0.0027;0.0024;0.0007;0.0016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6150357;0.5249;0.0603;0.0367;0.0116;0.0028;0.004;0.0036;0.0052;0.004;0.0028;0.0046;0.0064;0.0052;0.0044;0.003;0.006;0.0092;0.0102;0.011;0.0212;0.0513;0.0731;0.0743;0.0473;0.0142;0.0024;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6136042;0.4865;0.0025;0.0023;0.0016;0.0029;0.0016;0.0013;0.0012;0.0012;0.0009;0.002;0.0013;0.0017;0.002;0.0028;0.0034;0.0034;0.0032;0.0028;0.0042;0.0044;0.0048;0.0034;0.0025;0.0034;0.0026;0.002;0.0036;0.0028;0.0032;0.005;0.0057;0.0068;0.0092;0.0084;0.0147;0.053;0.0655;0.039;0.0181;0.0205;0.0319;0.0377;0.0332;0.0224;0.0178;0.0111;0.0084;0.0064;0.0044;0.0042;0.0031;0.0015;0.001;0.0025;0.0042;0.0025;0.0003;0;0;0
6136379;0.4594;0.0019;0.0008;0.0008;0.0021;0.0019;0.0026;0.0005;0.0018;0.001;0.0022;0.0034;0.0032;0.0024;0.0032;0.0018;0.0016;0.0027;0.0034;0.0026;0.0029;0.0018;0.0035;0.0018;0.0029;0.0022;0.003;0.0035;0.0042;0.0037;0.0046;0.0075;0.0051;0.0059;0.0062;0.0171;0.0374;0.0583;0.0406;0.0195;0.0208;0.036;0.0406;0.0305;0.0283;0.0284;0.031;0.0149;0.0086;0.0061;0.0059;0.0054;0.0026;0.0013;0.0016;0.0024;0.0029;0.0019;0.0002;0;0
6146887;0.3967;0.006;0.0051;0.0041;0.0069;0.0081;0.0065;0.0075;0.006;0.0065;0.0051;0.0055;0.0042;0.0038;0.0033;0.004;0.0042;0.0058;0.0058;0.004;0.0036;0.0049;0.0046;0.0038;0.0045;0.0043;0.0028;0.0032;0.0031;0.0046;0.0029;0.0019;0.002;0.0036;0.0038;0.005;0.0066;0.0115;0.0184;0.0222;0.0317;0.0392;0.053;0.078;0.0998;0.0643;0.013;0.0028;0.0013;0;0.0003;0;0;0;0;0;0;0;0;0;0
6146895;0.4187;0.003;0.0022;0.0025;0.0014;0.0029;0.0033;0.0016;0.0013;0.0024;0.0035;0.0024;0.0036;0.0022;0.0022;0.0022;0.0014;0.0025;0.0017;0.0016;0.0033;0.0025;0.0021;0.0025;0.0024;0.003;0.0025;0.0032;0.0021;0.0025;0.0036;0.0038;0.0043;0.0044;0.0044;0.0052;0.012;0.0184;0.0127;0.0112;0.0215;0.0435;0.0502;0.0396;0.0388;0.0285;0.0188;0.0491;0.0507;0.0182;0.0261;0.0382;0.0073;0.0005;0;0;0;0;0;0;0
6164499;0.1155;0.0035;0.0058;0.0214;0.0323;0.042;0.0572;0.1206;0.1101;0.0747;0.0743;0.0992;0.058;0.0486;0.0424;0.035;0.0156;0.0101;0.0078;0.0027;0.0027;0.0027;0.0016;0.0031;0.0051;0.0051;0.0016;0.0012;0.0004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6150365;0.5117;0.0886;0.0427;0.0073;0.0034;0.0052;0.0024;0.0047;0.0029;0.0034;0.0031;0.0047;0.0092;0.0034;0.0066;0.005;0.0068;0.0071;0.0121;0.0296;0.0622;0.0705;0.0425;0.0386;0.0189;0.0042;0.0029;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6195351;0.6669;0.0094;0.0071;0.002;0.0028;0.0008;0.0035;0.0004;0.0016;0.0016;0.0035;0.0031;0.0028;0.0051;0.0039;0.0083;0.013;0.0102;0.0106;0.0154;0.0354;0.0339;0.0311;0.0307;0.0331;0.0173;0.0197;0.0201;0.0047;0.0008;0.0008;0;0.0004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6128111;0.4227;0.0101;0.0051;0.0043;0.0035;0.0021;0.0029;0.0024;0.0024;0.0018;0.0016;0.0025;0.0047;0.0128;0.0071;0.0103;0.0069;0.017;0.0078;0.0247;0.0157;0.0252;0.0137;0.023;0.0159;0.0332;0.0163;0.0341;0.0193;0.0333;0.0193;0.0487;0.0174;0.049;0.021;0.0405;0.0102;0.0091;0.0018;0.0004;0.0001;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6128119;0.3535;0.0079;0.0038;0.0033;0.0033;0.0028;0.0033;0.0022;0.0024;0.0022;0.0024;0.0035;0.0026;0.0038;0.0027;0.0035;0.0045;0.0062;0.0105;0.0288;0.0059;0.0189;0.0127;0.0189;0.0133;0.0466;0.0223;0.0317;0.0238;0.0573;0.0455;0.0552;0.038;0.0685;0.0322;0.0254;0.0118;0.0107;0.0055;0.0022;0.0001;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6131139;0.3766;0.0098;0.0057;0.0038;0.0039;0.0036;0.0036;0.0025;0.0021;0.0032;0.0041;0.0041;0.0041;0.0045;0.008;0.0061;0.0134;0.0163;0.0286;0.0374;0.0556;0.0579;0.0658;0.0874;0.0951;0.0511;0.0229;0.0111;0.0071;0.0021;0.0014;0.0007;0;0;0;0;0;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0002
6131141;0.3708;0.0036;0.0045;0.003;0.003;0.0023;0.0018;0.0025;0.0031;0.003;0.0033;0.0038;0.0051;0.0065;0.0113;0.0074;0.0093;0.0104;0.0132;0.0205;0.0275;0.0331;0.0475;0.0639;0.0769;0.0692;0.0629;0.0554;0.0316;0.02;0.0164;0.0055;0.0017;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6140147;0.4304;0.0048;0.0043;0.0032;0.0029;0.0029;0.0022;0.0039;0.0031;0.0036;0.0023;0.004;0.0044;0.0105;0.0129;0.0208;0.017;0.0212;0.0099;0.0136;0.0094;0.0105;0.0086;0.0124;0.011;0.0156;0.0186;0.0457;0.0434;0.0555;0.0251;0.0288;0.0248;0.0405;0.0244;0.0262;0.0093;0.007;0.0028;0.0017;0.0001;0;0;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6142911;0.5053;0.0069;0.0051;0.0088;0.0112;0.0079;0.0058;0.0062;0.0043;0.0032;0.0022;0.0019;0.0022;0.003;0.0016;0.0019;0.0025;0.0043;0.0035;0.0038;0.0054;0.0039;0.006;0.006;0.0043;0.0054;0.0073;0.0073;0.0077;0.0077;0.0077;0.0084;0.0068;0.0068;0.0073;0.009;0.0082;0.009;0.0134;0.015;0.0145;0.0114;0.0219;0.038;0.0313;0.0164;0.0118;0.0081;0.0047;0.0068;0.0077;0.0158;0.0341;0.0298;0.0035;0.0002;0;0;0;0;0
6142851;0.3721;0.0036;0.0034;0.0073;0.0039;0.0039;0.0034;0.0036;0.0046;0.002;0.0016;0.002;0.0026;0.0024;0.0028;0.0023;0.0016;0.002;0.0013;0.0013;0.0021;0.0028;0.0015;0.0016;0.0028;0.0024;0.0023;0.0037;0.0016;0.0041;0.0015;0.002;0.0023;0.0026;0.0018;0.0026;0.0046;0.0033;0.0039;0.0033;0.005;0.0076;0.014;0.0532;0.1528;0.1739;0.0552;0.0062;0.0024;0.0028;0.0049;0.005;0.0112;0.0194;0.0057;0.0005;0;0;0;0;0
6148348;0.5866;0.0035;0.0024;0.0042;0.0053;0.0052;0.0063;0.0072;0.0059;0.0063;0.0059;0.005;0.0053;0.0034;0.0035;0.002;0.0019;0.0019;0.0011;0.0029;0.0018;0.0029;0.0016;0.0015;0.0007;0.001;0.0011;0.0022;0.0023;0.0031;0.0031;0.0044;0.006;0.0061;0.0113;0.0101;0.0185;0.0523;0.0617;0.0297;0.0135;0.0097;0.0083;0.0146;0.0124;0.0095;0.0057;0.003;0.005;0.0178;0.0122;0.0012;0;0;0;0;0;0;0;0;0
6148356;0.4458;0.0046;0.0042;0.0032;0.0084;0.007;0.0073;0.005;0.0046;0.005;0.005;0.0035;0.0034;0.0028;0.0035;0.0028;0.0019;0.0019;0.0011;0.0022;0.0011;0.0026;0.0014;0.0014;0.0019;0.002;0.0023;0.0022;0.002;0.0022;0.0028;0.0027;0.0045;0.0073;0.0072;0.0147;0.034;0.049;0.0674;0.0512;0.027;0.0132;0.0105;0.0235;0.0369;0.028;0.0262;0.0346;0.0155;0.0015;0;0;0;0;0;0;0;0;0;0;0
6145061;0.6516;0.0037;0.0026;0.0015;0.002;0.0016;0.0014;0.0014;0.0012;0.0011;0.0008;0.0016;0.0012;0.0014;0.0016;0.0037;0.0025;0.0053;0.0026;0.0063;0.0045;0.0363;0.0382;0.0833;0.0281;0.0604;0.0376;0.0147;0.001;0.0003;0;0.0001;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0
6166724;0.4583;0.0083;0.0054;0.0064;0.006;0.0035;0.004;0.0027;0.0035;0.0031;0.0027;0.0029;0.0031;0.0025;0.0054;0.0083;0.0077;0.0139;0.0198;0.0206;0.0383;0.0857;0.1246;0.1136;0.042;0.0067;0.0008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6162255;0.4467;0.0035;0.0027;0.0032;0.0032;0.0048;0.0027;0.0024;0.0038;0.0035;0.0038;0.0051;0.0054;0.0029;0.0035;0.0059;0.0075;0.0067;0.0088;0.0113;0.0177;0.0118;0.0287;0.0362;0.0338;0.0954;0.1184;0.0742;0.0324;0.0121;0.0019;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
